2020-09-10 | 17:38:15.521 | Thread-5             |  INFO | c.z.h.HikariDataSource    | ID:          | HikariPool-1 - Shutdown completed.
2020-09-10 | 17:48:31.085 | Test worker          |  INFO | s.Sprint1ApplicationTests | ID:          | Starting Sprint1ApplicationTests on ip-172-31-2-121 with PID 32660 (started by root in /home/ubuntu/recorder/backend/sprint1)
2020-09-10 | 17:48:31.091 | Test worker          |  INFO | s.Sprint1ApplicationTests | ID:          | The following profiles are active: local
2020-09-10 | 17:48:32.958 | Test worker          |  INFO | toryConfigurationDelegate | ID:          | Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2020-09-10 | 17:48:33.109 | Test worker          |  INFO | toryConfigurationDelegate | ID:          | Finished Spring Data repository scanning in 139ms. Found 6 JPA repository interfaces.
2020-09-10 | 17:48:34.096 | Test worker          |  INFO | $BeanPostProcessorChecker | ID:          | Bean 'org.springframework.security.access.expression.method.DefaultMethodSecurityExpressionHandler@6e16c6b4' of type [org.springframework.security.access.expression.method.DefaultMethodSecurityExpressionHandler] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2020-09-10 | 17:48:34.146 | Test worker          |  INFO | $BeanPostProcessorChecker | ID:          | Bean 'methodSecurityMetadataSource' of type [org.springframework.security.access.method.DelegatingMethodSecurityMetadataSource] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2020-09-10 | 17:48:34.529 | Test worker          |  INFO | c.z.h.HikariDataSource    | ID:          | HikariPool-1 - Starting...
2020-09-10 | 17:48:35.127 | Test worker          |  INFO | c.z.h.HikariDataSource    | ID:          | HikariPool-1 - Start completed.
2020-09-10 | 17:48:35.223 | Test worker          |  INFO | o.h.j.i.util.LogHelper    | ID:          | HHH000204: Processing PersistenceUnitInfo [
	name: default
	...]
2020-09-10 | 17:48:35.375 | Test worker          |  INFO | org.hibernate.Version     | ID:          | HHH000412: Hibernate Core {5.3.17.Final}
2020-09-10 | 17:48:35.378 | Test worker          |  INFO | o.h.cfg.Environment       | ID:          | HHH000206: hibernate.properties not found
2020-09-10 | 17:48:35.688 | Test worker          |  INFO | o.h.a.common.Version      | ID:          | HCANN000001: Hibernate Commons Annotations {5.0.4.Final}
2020-09-10 | 17:48:35.876 | Test worker          |  INFO | o.h.dialect.Dialect       | ID:          | HHH000400: Using dialect: com.swm.sprint1.config.MysqlCustomDialect
2020-09-10 | 17:48:37.041 | Test worker          |  INFO | rEntityManagerFactoryBean | ID:          | Initialized JPA EntityManagerFactory for persistence unit 'default'
2020-09-10 | 17:48:39.409 | Test worker          |  INFO | .c.ThreadPoolTaskExecutor | ID:          | Initializing ExecutorService 'clientInboundChannelExecutor'
2020-09-10 | 17:48:39.423 | Test worker          |  INFO | .c.ThreadPoolTaskExecutor | ID:          | Initializing ExecutorService 'clientOutboundChannelExecutor'
2020-09-10 | 17:48:39.745 | Test worker          |  WARN | on$JpaWebMvcConfiguration | ID:          | spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2020-09-10 | 17:48:40.334 | Test worker          |  INFO | e.w.EndpointLinksResolver | ID:          | Exposing 16 endpoint(s) beneath base path '/actuator'
2020-09-10 | 17:48:40.865 | Test worker          |  INFO | c.ThreadPoolTaskScheduler | ID:          | Initializing ExecutorService 'messageBrokerTaskScheduler'
2020-09-10 | 17:48:40.978 | Test worker          |  INFO | WelcomePageHandlerMapping | ID:          | Adding welcome page template: index
2020-09-10 | 17:48:41.088 | Test worker          |  INFO | efaultSecurityFilterChain | ID:          | Creating filter chain: any request, [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@73528157, org.springframework.security.web.context.SecurityContextPersistenceFilter@2ae76ebc, org.springframework.security.web.header.HeaderWriterFilter@527cdffb, org.springframework.web.filter.CorsFilter@47afd72d, org.springframework.security.web.authentication.logout.LogoutFilter@1e063a8c, org.springframework.security.oauth2.client.web.OAuth2AuthorizationRequestRedirectFilter@58c150e8, org.springframework.security.oauth2.client.web.OAuth2LoginAuthenticationFilter@27fd7e84, com.swm.sprint1.security.TokenAuthenticationFilter@15e121dc, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@5e12e64b, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@5730eea1, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@1573c092, org.springframework.security.web.session.SessionManagementFilter@63a02a20, org.springframework.security.web.access.ExceptionTranslationFilter@72460ca8, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@529001fd]
2020-09-10 | 17:48:41.135 | Test worker          |  INFO | .c.ThreadPoolTaskExecutor | ID:          | Initializing ExecutorService 'brokerChannelExecutor'
2020-09-10 | 17:48:42.446 | Test worker          |  INFO | tationPluginsBootstrapper | ID:          | Context refreshed
